Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-05 09:30:00-04:00,424.75,438.07000732421875,424.6000061035156,431.9100036621094,29643319,0.0,0.0,0.0
2024-08-05 10:30:00-04:00,431.9200134277344,439.9100036621094,431.7300109863281,437.8550109863281,11661104,0.0,0.0,0.0
2024-08-05 11:30:00-04:00,437.82000732421875,442.2900085449219,436.5400085449219,442.1600036621094,9002361,0.0,0.0,0.0
2024-08-05 12:30:00-04:00,442.1449890136719,442.1449890136719,435.80999755859375,437.5799865722656,6314875,0.0,0.0,0.0
2024-08-05 13:30:00-04:00,437.55999755859375,439.3500061035156,434.80999755859375,436.2099914550781,6471713,0.0,0.0,0.0
2024-08-05 14:30:00-04:00,436.1499938964844,436.79998779296875,432.7300109863281,434.8599853515625,9194982,0.0,0.0,0.0
2024-08-05 15:30:00-04:00,434.80999755859375,436.0299987792969,433.2200012207031,435.75,10487875,0.0,0.0,0.0
2024-08-06 09:30:00-04:00,437.2300109863281,440.92999267578125,434.55999755859375,439.30999755859375,15678250,0.0,0.0,0.0
2024-08-06 10:30:00-04:00,439.3399963378906,443.6199951171875,438.510009765625,439.8900146484375,7868913,0.0,0.0,0.0
2024-08-06 11:30:00-04:00,439.9200134277344,444.5899963378906,439.8699951171875,443.45001220703125,5624165,0.0,0.0,0.0
2024-08-06 12:30:00-04:00,443.489990234375,446.25,443.0799865722656,445.6300048828125,5895744,0.0,0.0,0.0
2024-08-06 13:30:00-04:00,445.6499938964844,446.6000061035156,444.5899963378906,446.42999267578125,4535617,0.0,0.0,0.0
2024-08-06 14:30:00-04:00,446.45001220703125,447.07000732421875,441.8699951171875,443.6600036621094,9185215,0.0,0.0,0.0
2024-08-06 15:30:00-04:00,443.69000244140625,444.0664978027344,439.44000244140625,439.55999755859375,7995435,0.0,0.0,0.0
2024-08-07 09:30:00-04:00,447.29998779296875,449.0,445.30999755859375,445.8909912109375,10975904,0.0,0.0,0.0
2024-08-07 10:30:00-04:00,446.04998779296875,448.75,445.5799865722656,446.79998779296875,4821794,0.0,0.0,0.0
2024-08-07 11:30:00-04:00,446.7900085449219,447.2799987792969,442.3299865722656,444.7898864746094,5222636,0.0,0.0,0.0
2024-08-07 12:30:00-04:00,444.739990234375,445.010009765625,439.2699890136719,440.3598937988281,10934440,0.0,0.0,0.0
2024-08-07 13:30:00-04:00,440.3349914550781,441.4873962402344,435.92999267578125,437.4800109863281,7756645,0.0,0.0,0.0
2024-08-07 14:30:00-04:00,437.4659118652344,439.0899963378906,435.54998779296875,437.70001220703125,7432853,0.0,0.0,0.0
2024-08-07 15:30:00-04:00,437.70001220703125,438.2900085449219,434.3699951171875,434.82000732421875,4886883,0.0,0.0,0.0
2024-08-08 09:30:00-04:00,441.1499938964844,444.9289855957031,437.1499938964844,444.75,12851627,0.0,0.0,0.0
2024-08-08 10:30:00-04:00,444.7799987792969,446.0899963378906,443.3699951171875,444.7799987792969,5421301,0.0,0.0,0.0
2024-08-08 11:30:00-04:00,444.79998779296875,446.8500061035156,444.1400146484375,446.1348876953125,3791582,0.0,0.0,0.0
2024-08-08 12:30:00-04:00,446.1000061035156,447.55999755859375,444.2200012207031,447.54998779296875,3952027,0.0,0.0,0.0
2024-08-08 13:30:00-04:00,447.5899963378906,448.9800109863281,447.3800048828125,447.9494934082031,4008728,0.0,0.0,0.0
2024-08-08 14:30:00-04:00,447.989990234375,448.5400085449219,446.17999267578125,446.260009765625,4842773,0.0,0.0,0.0
2024-08-08 15:30:00-04:00,446.2799987792969,448.6600036621094,445.3599853515625,448.20001220703125,8708067,0.0,0.0,0.0
2024-08-09 09:30:00-04:00,446.8500061035156,449.5199890136719,445.6300048828125,447.7699890136719,9576464,0.0,0.0,0.0
2024-08-09 10:30:00-04:00,447.8299865722656,449.80999755859375,446.4200134277344,448.07000732421875,3955266,0.0,0.0,0.0
2024-08-09 11:30:00-04:00,448.1300048828125,449.05999755859375,446.8399963378906,447.4700012207031,3051122,0.0,0.0,0.0
2024-08-09 12:30:00-04:00,447.42999267578125,451.6400146484375,447.3599853515625,451.6400146484375,3700295,0.0,0.0,0.0
2024-08-09 13:30:00-04:00,451.6700134277344,452.05999755859375,449.510009765625,449.9800109863281,4042441,0.0,0.0,0.0
2024-08-09 14:30:00-04:00,449.93499755859375,450.94000244140625,449.4200134277344,450.4800109863281,3405964,0.0,0.0,0.0
2024-08-09 15:30:00-04:00,450.4750061035156,451.0899963378906,449.7300109863281,450.5299987792969,4256100,0.0,0.0,0.0
