Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-05 02:00:00-05:00,23.389999389648438,41.79999923706055,23.389999389648438,36.029998779296875,0,0.0,0.0
2024-08-05 03:00:00-05:00,38.400001525878906,41.29999923706055,33.529998779296875,41.29999923706055,0,0.0,0.0
2024-08-05 04:00:00-05:00,34.63999938964844,46.599998474121094,34.619998931884766,45.70000076293945,0,0.0,0.0
2024-08-05 05:00:00-05:00,42.869998931884766,53.7599983215332,42.68000030517578,51.0099983215332,0,0.0,0.0
2024-08-05 06:00:00-05:00,50.38999938964844,53.7599983215332,49.650001525878906,52.619998931884766,0,0.0,0.0
2024-08-05 07:00:00-05:00,50.56999969482422,65.7300033569336,50.150001525878906,59.2400016784668,0,0.0,0.0
2024-08-05 08:00:00-05:00,64.05999755859375,65.7300033569336,41.93000030517578,42.869998931884766,0,0.0,0.0
2024-08-05 09:00:00-05:00,55.68000030517578,55.68000030517578,38.279998779296875,40.58000183105469,0,0.0,0.0
2024-08-05 10:00:00-05:00,43.86000061035156,43.9900016784668,33.36000061035156,33.47999954223633,0,0.0,0.0
2024-08-05 11:00:00-05:00,35.2599983215332,35.63999938964844,30.920000076293945,33.83000183105469,0,0.0,0.0
2024-08-05 12:00:00-05:00,30.920000076293945,34.310001373291016,30.920000076293945,33.41999816894531,0,0.0,0.0
2024-08-05 13:00:00-05:00,33.08000183105469,36.29999923706055,32.689998626708984,36.119998931884766,0,0.0,0.0
2024-08-05 14:00:00-05:00,33.849998474121094,39.08000183105469,33.77000045776367,38.560001373291016,0,0.0,0.0
2024-08-05 15:00:00-05:00,38.560001373291016,38.560001373291016,36.75,38.5099983215332,0,0.0,0.0
2024-08-06 02:00:00-05:00,33.709999084472656,33.709999084472656,32.43000030517578,33.13999938964844,0,0.0,0.0
2024-08-06 03:00:00-05:00,32.84000015258789,34.380001068115234,32.5099983215332,32.9900016784668,0,0.0,0.0
2024-08-06 04:00:00-05:00,32.9900016784668,34.77000045776367,32.5099983215332,33.529998779296875,0,0.0,0.0
2024-08-06 05:00:00-05:00,33.470001220703125,34.77000045776367,31.3700008392334,31.479999542236328,0,0.0,0.0
2024-08-06 06:00:00-05:00,32.599998474121094,32.599998474121094,30.56999969482422,31.579999923706055,0,0.0,0.0
2024-08-06 07:00:00-05:00,30.93000030517578,33.130001068115234,30.56999969482422,32.470001220703125,0,0.0,0.0
2024-08-06 08:00:00-05:00,31.8799991607666,33.130001068115234,29.6299991607666,29.889999389648438,0,0.0,0.0
2024-08-06 09:00:00-05:00,32.380001068115234,32.810001373291016,26.239999771118164,27.020000457763672,0,0.0,0.0
2024-08-06 10:00:00-05:00,27.780000686645508,28.18000030517578,26.1200008392334,26.200000762939453,0,0.0,0.0
2024-08-06 11:00:00-05:00,28.18000030517578,28.18000030517578,24.209999084472656,24.260000228881836,0,0.0,0.0
2024-08-06 12:00:00-05:00,25.110000610351562,25.229999542236328,24.100000381469727,24.280000686645508,0,0.0,0.0
2024-08-06 13:00:00-05:00,24.43000030517578,24.959999084472656,24.020000457763672,24.8700008392334,0,0.0,0.0
2024-08-06 14:00:00-05:00,24.280000686645508,27.31999969482422,24.020000457763672,27.31999969482422,0,0.0,0.0
2024-08-06 15:00:00-05:00,27.5,28.170000076293945,27.469999313354492,27.65999984741211,0,0.0,0.0
2024-08-07 02:00:00-05:00,24.770000457763672,25.389999389648438,24.450000762939453,24.68000030517578,0,0.0,0.0
2024-08-07 03:00:00-05:00,25.219999313354492,25.219999313354492,23.469999313354492,23.469999313354492,0,0.0,0.0
2024-08-07 04:00:00-05:00,23.84000015258789,24.010000228881836,23.06999969482422,23.09000015258789,0,0.0,0.0
2024-08-07 05:00:00-05:00,23.18000030517578,23.459999084472656,22.530000686645508,22.56999969482422,0,0.0,0.0
2024-08-07 06:00:00-05:00,22.81999969482422,23.229999542236328,22.489999771118164,23.149999618530273,0,0.0,0.0
2024-08-07 07:00:00-05:00,22.68000030517578,23.440000534057617,22.6299991607666,23.030000686645508,0,0.0,0.0
2024-08-07 08:00:00-05:00,23.350000381469727,23.420000076293945,22.1299991607666,22.1299991607666,0,0.0,0.0
2024-08-07 09:00:00-05:00,22.969999313354492,23.31999969482422,21.969999313354492,22.729999542236328,0,0.0,0.0
2024-08-07 10:00:00-05:00,23.209999084472656,23.729999542236328,22.469999313354492,23.559999465942383,0,0.0,0.0
2024-08-07 11:00:00-05:00,22.81999969482422,26.299999237060547,22.68000030517578,26.200000762939453,0,0.0,0.0
2024-08-07 12:00:00-05:00,24.209999084472656,28.1200008392334,24.200000762939453,27.899999618530273,0,0.0,0.0
2024-08-07 13:00:00-05:00,26.600000381469727,29.760000228881836,25.799999237060547,28.399999618530273,0,0.0,0.0
2024-08-07 14:00:00-05:00,28.440000534057617,29.149999618530273,26.530000686645508,28.329999923706055,0,0.0,0.0
2024-08-07 15:00:00-05:00,28.18000030517578,28.25,27.729999542236328,27.760000228881836,0,0.0,0.0
2024-08-08 02:00:00-05:00,28.34000015258789,29.469999313354492,28.229999542236328,29.209999084472656,0,0.0,0.0
2024-08-08 03:00:00-05:00,28.950000762939453,29.469999313354492,28.219999313354492,28.260000228881836,0,0.0,0.0
2024-08-08 04:00:00-05:00,29.149999618530273,29.18000030517578,27.979999542236328,28.739999771118164,0,0.0,0.0
2024-08-08 05:00:00-05:00,28.420000076293945,29.15999984741211,28.139999389648438,28.25,0,0.0,0.0
2024-08-08 06:00:00-05:00,28.459999084472656,28.549999237060547,27.440000534057617,27.440000534057617,0,0.0,0.0
2024-08-08 07:00:00-05:00,27.93000030517578,28.010000228881836,25.700000762939453,26.209999084472656,0,0.0,0.0
2024-08-08 08:00:00-05:00,27.829999923706055,27.829999923706055,25.6200008392334,25.75,0,0.0,0.0
2024-08-08 09:00:00-05:00,25.709999084472656,26.84000015258789,24.6299991607666,24.690000534057617,0,0.0,0.0
2024-08-08 10:00:00-05:00,24.770000457763672,25.280000686645508,24.6299991607666,24.8700008392334,0,0.0,0.0
2024-08-08 11:00:00-05:00,24.93000030517578,26.049999237060547,24.329999923706055,25.59000015258789,0,0.0,0.0
2024-08-08 12:00:00-05:00,25.43000030517578,26.049999237060547,24.84000015258789,24.8700008392334,0,0.0,0.0
2024-08-08 13:00:00-05:00,25.049999237060547,25.200000762939453,24.489999771118164,24.639999389648438,0,0.0,0.0
2024-08-08 14:00:00-05:00,24.790000915527344,25.0,23.709999084472656,23.709999084472656,0,0.0,0.0
2024-08-08 15:00:00-05:00,23.600000381469727,23.81999969482422,23.360000610351562,23.81999969482422,0,0.0,0.0
2024-08-09 02:00:00-05:00,23.780000686645508,23.90999984741211,23.59000015258789,23.59000015258789,0,0.0,0.0
2024-08-09 03:00:00-05:00,23.729999542236328,23.850000381469727,23.1200008392334,23.170000076293945,0,0.0,0.0
