Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-05 09:30:00-04:00,511.6400146484375,520.9299926757812,510.2699890136719,514.6400146484375,46359416,0.0,0.0,0.0
2024-08-05 10:30:00-04:00,514.760009765625,521.0,514.6199951171875,519.6799926757812,13547487,0.0,0.0,0.0
2024-08-05 11:30:00-04:00,519.6749877929688,523.5800170898438,519.0999755859375,523.5700073242188,10599758,0.0,0.0,0.0
2024-08-05 12:30:00-04:00,523.5499877929688,523.5499877929688,518.25,519.6599731445312,10033675,0.0,0.0,0.0
2024-08-05 13:30:00-04:00,519.6400146484375,520.8800048828125,517.72998046875,518.9500122070312,8016406,0.0,0.0,0.0
2024-08-05 14:30:00-04:00,518.9099731445312,519.4000244140625,515.3099975585938,516.4299926757812,11457012,0.0,0.0,0.0
2024-08-05 15:30:00-04:00,516.4500122070312,517.4099731445312,514.8800048828125,517.4099731445312,23128592,0.0,0.0,0.0
2024-08-06 09:30:00-04:00,519.219970703125,524.2899780273438,517.8699951171875,522.9299926757812,17331704,0.0,0.0,0.0
2024-08-06 10:30:00-04:00,523.0,526.510009765625,522.1500244140625,522.4199829101562,8535031,0.0,0.0,0.0
2024-08-06 11:30:00-04:00,522.4600219726562,526.9550170898438,522.4099731445312,525.97998046875,5935765,0.0,0.0,0.0
2024-08-06 12:30:00-04:00,526.02001953125,528.1561279296875,525.510009765625,527.85009765625,5165523,0.0,0.0,0.0
2024-08-06 13:30:00-04:00,527.8800048828125,528.9099731445312,526.9000244140625,528.8903198242188,6679981,0.0,0.0,0.0
2024-08-06 14:30:00-04:00,528.630126953125,529.75,525.010009765625,526.7203979492188,9526825,0.0,0.0,0.0
2024-08-06 15:30:00-04:00,526.75,527.030029296875,521.97998046875,522.1900024414062,16469673,0.0,0.0,0.0
2024-08-07 09:30:00-04:00,528.469970703125,531.5900268554688,527.9400024414062,528.75,12462130,0.0,0.0,0.0
2024-08-07 10:30:00-04:00,528.780029296875,531.1500244140625,528.4600219726562,529.510009765625,5690523,0.0,0.0,0.0
2024-08-07 11:30:00-04:00,529.5499877929688,530.0,525.8200073242188,527.6599731445312,5300276,0.0,0.0,0.0
2024-08-07 12:30:00-04:00,527.6599731445312,527.8200073242188,522.2899780273438,523.6500244140625,7464716,0.0,0.0,0.0
2024-08-07 13:30:00-04:00,523.6400146484375,524.9899291992188,519.4349975585938,520.6599731445312,9642084,0.0,0.0,0.0
2024-08-07 14:30:00-04:00,520.6500244140625,522.0999755859375,518.8300170898438,521.0700073242188,9077928,0.0,0.0,0.0
2024-08-07 15:30:00-04:00,521.0399780273438,521.7899780273438,518.0518798828125,518.6500244140625,10586185,0.0,0.0,0.0
2024-08-08 09:30:00-04:00,523.9099731445312,527.989990234375,521.8400268554688,527.8699951171875,14881525,0.0,0.0,0.0
2024-08-08 10:30:00-04:00,527.8200073242188,528.47998046875,526.405029296875,527.8200073242188,6216281,0.0,0.0,0.0
2024-08-08 11:30:00-04:00,527.8099975585938,529.0161743164062,526.8499755859375,528.3905029296875,4473111,0.0,0.0,0.0
2024-08-08 12:30:00-04:00,528.4000244140625,529.97998046875,526.6500244140625,529.9500122070312,5635581,0.0,0.0,0.0
2024-08-08 13:30:00-04:00,530.0499877929688,531.2899780273438,529.6900024414062,530.3499755859375,5416062,0.0,0.0,0.0
2024-08-08 14:30:00-04:00,530.3599853515625,530.9099731445312,529.030029296875,529.3099975585938,5697553,0.0,0.0,0.0
2024-08-08 15:30:00-04:00,529.3200073242188,531.030029296875,528.2000122070312,530.6300048828125,11530566,0.0,0.0,0.0
2024-08-09 09:30:00-04:00,529.7100219726562,531.8099975585938,528.5599975585938,530.6099853515625,10172724,0.0,0.0,0.0
2024-08-09 10:30:00-04:00,530.6500244140625,532.64990234375,529.409912109375,530.8400268554688,5228273,0.0,0.0,0.0
2024-08-09 11:30:00-04:00,530.9000244140625,531.8400268554688,529.7999877929688,530.2999877929688,3891279,0.0,0.0,0.0
2024-08-09 12:30:00-04:00,530.2899780273438,534.1400146484375,530.22998046875,534.1199951171875,3739543,0.0,0.0,0.0
2024-08-09 13:30:00-04:00,534.1300048828125,534.510009765625,531.6900024414062,532.02001953125,4963380,0.0,0.0,0.0
2024-08-09 14:30:00-04:00,531.9000244140625,533.1599731445312,531.469970703125,532.72998046875,4672061,0.0,0.0,0.0
2024-08-09 15:30:00-04:00,532.739990234375,533.4099731445312,532.0599975585938,532.9099731445312,6570541,0.0,0.0,0.0
